Corruption Perceptions Index 2018: Score and rank changes 2017-2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country,ISO3,Region,CPI Score 2018,CPI Score 2017,Change in scores 2017-2018,CPI Rank 2018,CPI Rank 2017,Change in rank   2017-2018,Standard error 2018,Standard error 2017,,,,
Chad,TCD,SSA,19,20,-1,165,165,0,2.94,2.73,,,,
Equatorial Guinea,GNQ,SSA,16,17,-1,172,171,-1,2.82,3.56,,,,
Guinea Bissau,GNB,SSA,16,17,-1,172,171,-1,1.97,1.7,,,,
Syria,SYR,MENA,13,14,-1,178,178,0,1.92,1.93,,,,
New Zealand,NZL,AP,87,89,-2,2,1,-1,2.44,2.4,,,,
United Kingdom,GBR,WE/EU,80,82,-2,11,8,-3,2.03,1.7,,,,
Malta,MLT,WE/EU,54,56,-2,51,46,-5,1.39,1.18,,,,
China,CHN,AP,39,41,-2,87,77,-10,2.02,1.96,,,,
Serbia,SRB,ECA,39,41,-2,87,77,-10,2.89,2.8,,,,
Kosovo,KSV,ECA,37,39,-2,93,85,-8,1.49,2.13,,,,
Albania,ALB,ECA,36,38,-2,99,91,-8,1.65,1.81,,,,
Brazil,BRA,AME,35,37,-2,105,96,-9,4.05,4.24,,,,
Peru,PER,AME,35,37,-2,105,96,-9,3.1,3.35,,,,
Zambia,ZMB,SSA,35,37,-2,105,96,-9,1.93,2.46,,,,
Vietnam,VNM,AP,33,35,-2,117,107,-10,2.84,2.78,,,,
Maldives,MDV,AP,31,33,-2,124,112,-12,2.24,1.71,,,,
Togo,TGO,SSA,30,32,-2,129,117,-12,2.35,3.29,,,,
Iran,IRN,MENA,28,30,-2,138,130,-8,2.89,3.51,,,,
Bangladesh,BGD,AP,26,28,-2,149,143,-6,2.63,3.19,,,,
Mozambique,MOZ,SSA,23,25,-2,158,153,-5,2.64,2.87,,,,
Haiti,HTI,AME,20,22,-2,161,157,-4,2.47,2.05,,,,
Congo,COG,SSA,19,21,-2,165,161,-4,1.04,1.08,,,,
Yemen,YEM,MENA,14,16,-2,176,175,-1,1.45,1.85,,,,
Costa Rica,CRI,AME,56,59,-3,48,38,-10,3.65,2.98,,,,
Greece,GRC,WE/EU,45,48,-3,67,59,-8,2.51,2.98,,,,
Timor-Leste,TLS,AP,35,38,-3,105,91,-14,4.81,7.5,,,,
"Korea, North",PRK,AP,14,17,-3,176,171,-5,1.39,4.18,,,,
United States of America,USA,AME,71,75,-4,22,16,-6,3.25,3.24,,,,
Bolivia,BOL,AME,29,33,-4,132,112,-20,3.6,2.98,,,,
Burundi,BDI,SSA,17,22,-5,170,157,-13,2.65,3.29,,,,
Azerbaijan,AZE,ECA,25,31,-6,152,122,-30,4.09,5.64,,,,
