Corruption Perceptions Index 2018: Score timeseries since 2012,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country,ISO3,Region,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Burkina Faso,BFA,SSA,41,78,8,1.81,42,74,7,2.18,42,7,2.47,38,7,2.97,38,7,2.67,38,7,3.9,38,7,4.4
Ghana,GHA,SSA,41,78,9,2.54,40,81,9,2.56,43,9,2.89,47,8,2.82,48,8,3.01,46,9,3.3,45,9,3.8
India,IND,AP,41,78,9,2.42,40,81,9,2.16,40,8,2.47,38,8,3.14,38,9,2.27,36,10,2.2,36,10,2.1
Kuwait,KWT,MENA,41,78,6,3.47,39,85,6,2.47,41,5,2.67,49,5,4.51,44,5,5.24,43,5,3.9,44,5,3.9
Lesotho,LSO,SSA,41,78,6,3.67,42,74,6,4.08,39,5,6.15,44,5,4.99,49,5,3.55,49,5,3.6,45,5,4.6
Trinidad and Tobago,TTO,AME,41,78,6,5.8,41,77,6,5.47,35,5,2.48,39,4,4.64,38,4,4.82,38,4,5.1,39,4,4.5
Turkey,TUR,ECA,41,78,9,3.03,40,81,8,1.8,41,9,1.8,42,8,2.02,45,8,2.69,50,9,2.4,49,9,2.1
Argentina,ARG,AME,40,85,8,2.7,39,85,8,2.92,36,8,1.76,32,7,1.84,34,7,2.42,34,8,2.4,35,8,2.6
Benin,BEN,SSA,40,85,6,3.14,39,85,6,4.17,36,6,3.8,37,5,4.43,39,4,4.38,36,6,3.4,36,6,4.3
China,CHN,AP,39,87,8,2.02,41,77,9,1.96,40,8,2.39,37,8,2.34,36,8,2.17,40,9,2.9,39,9,2.9
Serbia,SRB,ECA,39,87,8,2.89,41,77,8,2.8,42,7,3.69,40,7,3.9,41,7,2.92,42,7,3.4,39,7,2.6
Bosnia and Herzegovina,BIH,ECA,38,89,7,1.86,38,91,7,2.56,39,7,1.7,38,6,1.71,39,6,1.15,42,7,2.9,42,7,2.3
Indonesia,IDN,AP,38,89,9,3.35,37,96,9,3.12,37,8,2.39,36,8,3.39,34,8,3.57,32,9,3.5,32,9,2.9
Sri Lanka,LKA,AP,38,89,7,1.85,38,91,7,1.82,36,7,1.64,37,7,2.09,38,7,2.18,37,7,2.1,40,7,1.3
Swaziland,SWZ,SSA,38,89,3,4.48,39,85,3,5.81,,,,,,,43,3,2.98,39,4,1.8,37,4,2.1
Gambia,GMB,SSA,37,93,6,9.44,30,130,6,6.22,26,5,7.2,28,5,6.67,29,5,7.55,28,5,6.7,34,5,7
Guyana,GUY,AME,37,93,5,0.77,38,91,5,1.84,34,6,3.57,29,4,3.01,30,4,3.03,27,4,2.9,28,4,2.1
Kosovo,KSV,ECA,37,93,5,1.49,39,85,5,2.13,36,5,3.17,33,3,2.19,33,3,2.33,33,3,2.3,34,3,1.5
Macedonia,MKD,ECA,37,93,7,3.38,35,107,6,4.49,37,7,4.97,42,6,5.27,45,6,5.92,44,6,5,43,6,4.7
Mongolia,MNG,AP,37,93,9,1.94,36,103,9,1.4,38,9,1.7,39,8,1.76,39,7,2.13,38,7,2.2,36,7,2.6
Panama,PAN,AME,37,93,7,1.76,37,96,7,1.79,38,6,2.29,39,6,3.01,37,6,3.49,35,6,2.2,38,6,3.1
Albania,ALB,ECA,36,99,8,1.65,38,91,8,1.81,39,7,1.99,36,7,3.58,33,7,1.51,31,7,2.1,33,7,2
Bahrain,BHR,MENA,36,99,4,1.81,36,103,4,1.81,43,5,5.96,51,5,7.86,49,5,6.11,48,5,5.4,51,5,4.1
Colombia,COL,AME,36,99,8,2.51,37,96,8,2.77,37,8,2.27,37,7,1.94,37,7,1.68,36,7,2,36,7,2.6
Philippines,PHL,AP,36,99,9,1.55,34,111,9,1.9,35,9,1.58,35,8,1.92,38,8,1.84,36,9,2.5,34,9,2.2
Tanzania,TZA,SSA,36,99,9,1.83,36,103,9,1.55,32,9,1.84,30,8,3.49,31,8,3.2,33,8,2.7,35,8,2.1
Thailand,THA,AP,36,99,9,2.08,37,96,9,2.03,35,9,2.44,38,8,2.12,38,8,1.6,35,8,1.2,37,8,1.6
Algeria,DZA,MENA,35,105,6,1.21,33,112,6,2.32,34,6,2.94,36,5,1.85,36,5,2.06,36,6,2.8,34,6,3.3
Armenia,ARM,ECA,35,105,6,4,35,107,6,3.79,33,6,4.01,35,5,2.98,37,6,3.69,36,6,3.5,34,6,2.7
Brazil,BRA,AME,35,105,8,4.05,37,96,8,4.24,40,8,4.34,38,7,5.29,43,7,4.01,42,8,3.7,43,8,3.3
Cote d'Ivoire,CIV,SSA,35,105,9,2.05,36,103,8,2.03,34,8,2.03,32,8,2.65,32,8,4.2,27,8,2.3,29,8,2.4
Egypt,EGY,MENA,35,105,7,4.59,32,117,7,4.04,34,6,2.72,36,6,2.47,37,6,2.91,32,7,3.1,32,7,3.1
El Salvador,SLV,AME,35,105,7,2.59,33,112,7,3.25,36,7,2.76,39,6,2.26,39,6,1.98,38,6,2,38,6,2.8
Peru,PER,AME,35,105,8,3.1,37,96,8,3.35,35,7,2.04,36,7,3.05,38,7,2.63,38,7,2.5,38,7,2.1
Timor-Leste,TLS,AP,35,105,3,4.81,38,91,3,7.5,35,3,5.97,28,3,5.17,28,3,5.18,30,3,3.2,33,3,5.6
Zambia,ZMB,SSA,35,105,9,1.93,37,96,9,2.46,38,9,2.91,38,8,2.55,38,8,2.27,38,8,2.1,37,8,3.1
Ecuador,ECU,AME,34,114,7,3.46,32,117,7,2.66,31,6,1.96,32,6,2.86,33,5,3.56,35,6,3.6,32,6,2.9
Ethiopia,ETH,SSA,34,114,8,1.52,35,107,9,1.36,34,9,1.37,33,8,2.73,33,8,2.54,33,8,2.5,33,8,1.6
Niger,NER,SSA,34,114,6,2.98,33,112,6,3.27,35,5,3.25,34,5,4.16,35,5,3.99,34,5,3.7,33,5,3.1
Moldova,MDA,ECA,33,117,9,2.13,31,122,9,1.54,30,9,2.18,33,8,2.88,35,8,2.7,35,8,2.8,36,8,2.6
Pakistan,PAK,AP,33,117,8,2.06,32,117,8,2.11,32,7,2.12,30,7,3.12,29,7,3.24,28,8,3,27,8,2.3
Vietnam,VNM,AP,33,117,8,2.84,35,107,8,2.78,33,8,2.46,31,8,2.56,31,8,2.55,31,8,2.6,31,8,2.5
Liberia,LBR,SSA,32,120,8,3.31,31,122,8,3.24,37,7,3.43,37,7,4.22,37,6,3.09,38,7,3.3,41,7,3.9
Malawi,MWI,SSA,32,120,9,2.61,31,122,9,1.85,31,9,2.11,31,8,2.41,33,8,3.03,37,8,1.7,37,8,1.5
Mali,MLI,SSA,32,120,7,1.38,31,122,7,2.08,32,6,1.75,35,6,1.89,32,6,3.37,28,6,3.3,34,6,4
Ukraine,UKR,ECA,32,120,9,2.27,30,130,9,2.27,29,9,1.97,27,8,1.93,26,8,1.64,25,8,1.7,26,8,1.8
Djibouti,DJI,SSA,31,124,4,5.38,31,122,4,5.32,30,3,8.23,34,3,9.07,34,3,9.1,36,3,8.6,36,3,8.6
Gabon,GAB,SSA,31,124,4,3.92,32,117,4,3.22,35,4,0.97,34,4,1.65,37,4,4.19,34,5,1.5,35,5,2.1
Kazakhstan,KAZ,ECA,31,124,9,3.6,31,122,9,3.59,29,9,3.35,28,8,4.9,29,8,4.4,26,8,3.3,28,8,4.1
Maldives,MDV,AP,31,124,3,2.24,33,112,3,1.71,36,3,5.66,,,,,,,,,,,,
Nepal,NPL,AP,31,124,6,1.85,31,122,6,2,29,6,2.33,27,5,2.73,29,5,2.2,31,5,1.4,27,5,2.4
Dominican Republic,DOM,AME,30,129,7,2.57,29,135,7,2.56,31,6,1.89,33,6,2.63,32,6,3.3,29,6,3.5,32,6,2.7
Sierra Leone,SLE,SSA,30,129,9,2.17,30,130,9,1.95,30,8,2.94,29,8,3.44,31,8,2.3,30,8,2.4,31,8,1.9
Togo,TGO,SSA,30,129,6,2.35,32,117,6,3.29,32,5,4.21,32,5,3.04,29,5,3.69,29,5,3.7,30,5,3.4
Bolivia,BOL,AME,29,132,7,3.6,33,112,6,2.98,33,8,2.85,34,7,3.58,35,7,2.98,34,7,3.7,34,7,3.7
Honduras,HND,AME,29,132,8,2.42,29,135,8,2.32,30,7,3.05,31,7,4.12,29,6,3.49,26,6,2.5,28,6,2.4
Kyrgyzstan,KGZ,ECA,29,132,7,2.37,29,135,7,2.59,28,7,2.08,28,6,2.29,27,6,2.35,24,6,2.3,24,6,1.8
Laos,LAO,AP,29,132,5,5.7,29,135,5,5.89,30,4,6.19,25,4,5.31,25,4,3.8,26,4,5,21,3,1.3
