Country,ISO3,Region,CPI Score 2018,Rank ,Standard error,Number of sources,Upper CI,Lower CI ,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,Varieties of Democracy Project
Turkey,TUR,ECA,41,78,3.03,9,46,36,,26,41,37,,47,48,,41,,55,41,29
Argentina,ARG,AME,40,85,2.7,8,44,36,,,53,37,,35,40,,32,,33,48,46
Benin,BEN,SSA,40,85,3.14,6,45,35,44,,33,,,35,,,,43,34,,52
China,CHN,AP,39,87,2.02,8,42,36,,,37,37,,47,49,38,32,,,39,35
Serbia,SRB,ECA,39,87,2.89,8,44,34,,,49,37,53,35,,,32,,44,34,32
Bosnia and Herzegovina,BIH,ECA,38,89,1.86,7,41,35,,,41,37,44,35,,,,,29,39,38
Indonesia,IDN,AP,38,89,3.35,9,43,33,,,37,37,,47,38,33,50,,50,20,28
Sri Lanka,LKA,AP,38,89,1.85,7,41,35,,,41,37,,35,,,32,,42,34,46
Swaziland,SWZ,SSA,38,89,4.48,3,45,31,,,,,,35,,,,,47,,33
Gambia,GMB,SSA,37,93,9.44,6,52,22,9,,,,,47,,,24,18,57,,66
Guyana,GUY,AME,37,93,0.77,5,38,36,,,,,,35,,,38,35,,38,37
Kosovo,KSV,ECA,37,93,1.49,5,39,35,,,37,,36,35,,,,35,,,43
Macedonia,MKD,ECA,37,93,3.38,7,43,31,,,41,20,47,35,,,,,33,43,39
Mongolia,MNG,AP,37,93,1.94,9,40,34,,,41,37,,47,30,,32,43,31,36,33
Panama,PAN,AME,37,93,1.76,7,40,34,,,37,37,,35,,,32,,32,42,44
Albania,ALB,ECA,36,99,1.65,8,39,33,,,37,37,42,35,,,41,,39,30,29
Bahrain,BHR,MENA,36,99,1.81,4,39,33,,,33,37,,35,,,41,,,,
Colombia,COL,AME,36,99,2.51,8,40,32,,,41,37,,47,23,,41,,31,36,35
Philippines,PHL,AP,36,99,1.55,9,39,33,,,37,37,,35,31,40,41,,40,27,36
Tanzania,TZA,SSA,36,99,1.83,9,39,33,39,,33,37,,35,,,32,35,45,27,43
Thailand,THA,AP,36,99,2.08,9,39,33,,,37,37,,35,41,37,32,,42,40,21
Algeria,DZA,MENA,35,105,1.21,6,37,33,,,37,37,,35,,,32,,39,,32
Armenia,ARM,ECA,35,105,4,6,42,28,,,33,,39,35,,,32,,51,,21
Brazil,BRA,AME,35,105,4.05,8,42,28,,,57,37,,35,24,,32,,18,39,38
Cote d'Ivoire,CIV,SSA,35,105,2.05,9,38,32,32,,29,37,,47,,,32,35,26,33,40
Egypt,EGY,MENA,35,105,4.59,7,43,27,,,33,37,,35,,,32,,59,30,18
El Salvador,SLV,AME,35,105,2.59,7,39,31,,,45,37,,35,,,32,,23,32,40
Peru,PER,AME,35,105,3.1,8,40,30,,,45,37,,35,25,,41,,23,30,46
Timor-Leste,TLS,AP,35,105,4.81,3,43,27,,,,,,35,,,,27,,,43
Zambia,ZMB,SSA,35,105,1.93,9,38,32,39,,29,37,,35,,,32,35,25,40,43
Ecuador,ECU,AME,34,114,3.46,7,40,28,,,37,37,,22,,,32,,24,34,50
Ethiopia,ETH,SSA,34,114,1.52,8,36,32,37,,25,37,,35,,,32,35,,36,38
Niger,NER,SSA,34,114,2.98,6,39,29,44,,37,,,35,,,24,35,,,28
Moldova,MDA,ECA,33,117,2.13,9,36,30,,,33,37,33,47,,,32,27,29,28,26
Pakistan,PAK,AP,33,117,2.06,8,36,30,,,25,37,,35,,,32,35,43,29,27
Vietnam,VNM,AP,33,117,2.84,8,38,28,,,29,20,,35,,30,36,,32,37,48
Liberia,LBR,SSA,32,120,3.31,8,37,27,39,,41,,,22,,,40,35,37,20,20
Malawi,MWI,SSA,32,120,2.61,9,36,28,37,,37,20,,47,,,32,27,25,34,30
Mali,MLI,SSA,32,120,1.38,7,34,30,34,,33,,,35,,,32,35,24,,32
Ukraine,UKR,ECA,32,120,2.27,9,36,28,,,41,20,36,35,29,,32,,34,36,22
Djibouti,DJI,SSA,31,124,5.38,4,40,22,24,,,,,47,,,,27,,,25
Gabon,GAB,SSA,31,124,3.92,4,37,25,,,,37,,35,,,32,,,,20
Kazakhstan,KAZ,ECA,31,124,3.6,9,37,25,,,25,20,24,35,48,,27,,46,34,17
Maldives,MDV,AP,31,124,2.24,3,35,27,,,,,,35,,,,27,,,31
Nepal,NPL,AP,31,124,1.85,6,34,28,,,25,,,35,,,,35,33,32,25
Dominican Republic,DOM,AME,30,129,2.57,7,34,26,,,29,37,,35,,,32,,30,29,16
Sierra Leone,SLE,SSA,30,129,2.17,9,34,26,34,,33,20,,35,,,39,35,29,27,22
Togo,TGO,SSA,30,129,2.35,6,34,26,24,,33,,,35,,,32,35,,,22
Bolivia,BOL,AME,29,132,3.6,7,35,23,,,37,37,,35,,,32,,13,19,33
Honduras,HND,AME,29,132,2.42,8,33,25,,,33,20,,22,,,34,35,39,25,27
Kyrgyzstan,KGZ,ECA,29,132,2.37,7,33,25,,,37,,30,22,,,,35,31,27,20
Laos,LAO,AP,29,132,5.7,5,38,20,,,17,,,35,,,,27,47,,17
Myanmar,MMR,AP,29,132,3.94,7,35,23,,,21,20,,22,,,32,27,,30,50
Paraguay,PRY,AME,29,132,3.05,6,34,24,,,37,37,,22,,,32,,21,,24
Guinea,GIN,SSA,28,138,2.67,6,32,24,27,,37,,,35,,,24,27,,,20
Iran,IRN,MENA,28,138,2.89,7,33,23,,,21,20,,35,,,24,,33,40,26
Lebanon,LBN,MENA,28,138,2.28,7,32,24,,,21,37,,22,,,24,,32,30,31
Mexico,MEX,AME,28,138,1.83,9,31,25,,35,29,37,,22,23,,24,,25,27,33
Papua New Guinea,PNG,AP,28,138,2.47,6,32,24,,,29,20,,22,,,32,35,,,32
Russia,RUS,ECA,28,138,2.51,9,32,24,,,33,20,24,22,34,,24,,42,33,21
Comoros,COM,SSA,27,144,9,4,42,12,4,,,,,47,,,,27,,,33
Guatemala,GTM,AME,27,144,2.56,7,31,23,,,37,20,,22,,,32,,32,27,20
Kenya,KEN,SSA,27,144,1.82,9,30,24,29,,29,20,,22,,,25,35,34,21,29
Mauritania,MRT,SSA,27,144,2.95,6,32,22,27,,29,,,35,,,,35,17,,22
Nigeria,NGA,SSA,27,144,2.03,9,30,24,34,,33,20,,22,,,24,35,19,27,25
Bangladesh,BGD,AP,26,149,2.63,8,30,22,,,25,20,,22,,,41,27,30,26,17
Central African Republic,CAF,SSA,26,149,1.14,5,28,24,24,,29,,,22,,,,27,,,27
Uganda,UGA,SSA,26,149,2.13,9,29,23,27,,33,37,,22,,,24,18,23,18,28
Azerbaijan,AZE,ECA,25,152,4.09,6,32,18,,,25,37,21,35,,,24,,,,9
Cameroon,CMR,SSA,25,152,2.43,9,29,21,34,,29,20,,35,,,24,27,30,19,13
Madagascar,MDG,SSA,25,152,2.64,7,29,21,19,,33,,,35,,,24,27,,19,17
Nicaragua,NIC,AME,25,152,1.13,8,27,23,,,25,20,,22,,,24,27,28,29,23
Tajikistan,TJK,ECA,25,152,5.73,6,34,16,,,17,,21,22,,,,27,52,,12
Eritrea,ERI,SSA,24,157,8.24,5,38,10,4,,13,,,35,,,,18,,,50
Mozambique,MOZ,SSA,23,158,2.64,8,27,19,14,,21,20,,22,,,32,27,16,,35
Uzbekistan,UZB,ECA,23,158,1.93,7,26,20,,,21,20,21,22,,,,18,,34,23
Zimbabwe,ZWE,SSA,22,160,2.29,9,26,18,19,,17,37,,22,,,15,18,29,21,23
