,Unnamed: 0,country,gdp_usd,population,CPI,rank,GI_risk,co2_mmt,gdp_capita,regulatory_quality,political_stability,accountability,rule_of_law,co2_mmt_capita,co2_kg_capita,GDP_Ag_and_Forest,petro_income,resource_income,co2_dollar,co2_kg_dollar,KOFGI
37,37,Djibouti,3037470000.0,941911.0,31,124,47,0.951511,3224.8,-0.70002,-0.6264,-1.37253,-0.975927,1.0101920457452987e-06,0.0010101920457452986,1.9425299999999999,0.0,0.68462,3.132577441094069e-10,0.3132577441094069,54.3823776245117
38,38,Dominica,734646000.0,73543.0,57,45,59,0.19918,9989.34,0.199075,1.00244,0.8993959999999999,0.606374,2.708347497382484e-06,0.002708347497382484,16.2839,0.0,0.0568528,2.7112377934406503e-10,0.271123779344065,52.5913772583008
39,39,Dominican Republic,147299000000.0,10644400.0,30,129,35,23.3221,13838.2,-0.06524500000000001,0.252106,0.180617,-0.395149,2.1910206305663067e-06,0.002191020630566307,5.78452,0.0,2.18321,1.583316926795158e-10,0.1583316926795158,61.524055480957
40,40,Ecuador,167902000000.0,16382600.0,34,114,22,36.82,10248.8,-1.01845,-0.085358,-0.248473,-0.761253,2.2475065007996287e-06,0.002247506500799629,9.51902,3.17948,3.74535,2.192945885099641e-10,0.2192945885099641,60.6681251525879
41,41,El Salvador,44525200000.0,6345790.0,35,105,35,7.318,7016.49,0.0939717,-0.0992914,0.188029,-0.709517,1.153205511055361e-06,0.001153205511055361,5.63092,0.0,0.968815,1.643563644857294e-10,0.1643563644857294,65.8558502197266
42,42,Equatorial Guinea,28910200000.0,1221570.0,16,172,10,3.06355,23666.4,-1.38024,-0.140869,-1.95255,-1.51585,2.5078792046301075e-06,0.0025078792046301073,2.33224,12.0421,16.2133,1.0596778991497814e-10,0.10596778991497813,42.304847717285206
43,43,Estonia,35961100000.0,1315640.0,73,18,71,5.26909,27333.5,1.6981400000000002,0.673908,1.2079799999999998,1.22636,4.004963363838131e-06,0.004004963363838133,2.0862700000000003,0.21048699999999998,1.14431,1.4652193620328636e-10,0.14652193620328635,81.9686279296875
44,44,Ethiopia,163867000000.0,102450000.0,34,114,35,12.0258,1599.48,-1.10131,-1.61981,-1.40366,-0.492349,1.1738213762811127e-07,0.00011738213762811128,34.6088,0.0,11.3692,7.338756430519871e-11,0.07338756430519873,42.506843566894496
45,45,Finland,213514000000.0,5497300.0,85,3,83,46.6064,38839.8,1.81741,0.999086,1.53173,2.01521,8.478052862314228e-06,0.00847805286231423,2.38021,0.0,0.560388,2.1828264188765138e-10,0.2182826418876514,85.9784393310547
46,46,France,2487650000000.0,66892100.0,72,21,71,354.099,37189.0,1.0703200000000002,-0.0953591,1.13557,1.41308,5.293584743190902e-06,0.0052935847431909,1.43711,0.00399977,0.039476800000000006,1.4234277330010248e-10,0.1423427733001025,87.3366470336914
47,47,Gabon,32497900000.0,1974400.0,31,124,35,3.98041,16459.6,-0.79791,-0.104911,-0.969589,-0.6045520000000001,2.0160099270664505e-06,0.0020160099270664505,4.97314,8.974,12.227,1.2248206807209079e-10,0.1224820680720908,52.48893737792971
48,48,Georgia,35487600000.0,3940930.0,58,41,47,10.3538,9004.88,1.00866,-0.313291,0.29372600000000004,0.383661,2.627247883113884e-06,0.002627247883113884,7.72735,0.102769,1.07445,2.917582479513971e-10,0.2917582479513971,72.4989471435547
