country,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
Costa Rica,UNSDC/MOJ/CTS, 	249 , 	257 , 	258 , 	300 , 	280 , 	335 , 	351 , 	369 , 	512 , 	525 , 	527 , 	474 , 	407 , 	411 , 	477 , 	557 , 	578 ,
El Salvador,OAS/CTS/RSC," 	3,551 "," 	3,590 "," 	2,835 "," 	3,356 "," 	3,897 "," 	3,882 "," 	3,927 "," 	3,497 "," 	3,179 "," 	4,382 "," 	3,987 "," 	4,371 "," 	2,594 "," 	2,513 "," 	3,921 "," 	6,656 "," 	5,257 ",
Guatemala,UNSDC/NP/CTS," 	2,904 "," 	3,230 "," 	3,631 "," 	4,237 "," 	4,507 "," 	5,338 "," 	5,885 "," 	5,781 "," 	6,292 "," 	6,498 "," 	5,960 "," 	5,681 "," 	5,155 "," 	5,253 "," 	4,998 "," 	4,778 "," 	4,520 ",
Honduras,OCAVI/NSO/CTS," 	3,176 "," 	3,488 "," 	3,623 "," 	4,073 "," 	3,639 "," 	3,212 "," 	3,118 "," 	3,588 "," 	4,455 "," 	5,280 "," 	6,236 "," 	7,104 "," 	7,172 "," 	6,431 "," 	5,891 "," 	5,148 "," 	5,150 ",
Mexico,NSO," 	10,737 "," 	10,285 "," 	10,088 "," 	10,087 "," 	9,329 "," 	9,921 "," 	10,452 "," 	8,867 "," 	14,006 "," 	19,803 "," 	25,757 "," 	27,213 "," 	25,967 "," 	23,063 "," 	20,010 "," 	20,762 "," 	24,559 ",
Nicaragua,NP, 	476 , 	537 , 	554 , 	635 , 	646 , 	729 , 	722 , 	714 , 	736 , 	802 , 	785 , 	738 , 	673 , 	594 , 	525 , 	524 , 	453 ,
Panama,NSO/CTS, 	299 , 	306 , 	376 , 	337 , 	308 , 	364 , 	221 , 	279 , 	493 , 	562 , 	460 , 	549 , 	637 , 	663 , 	568 , 	447 , 	390 ,
Bermuda,NP/CTS, 	-   , 	3 , 	1 , 	2 , 	1 , 	2 , 	3 , 	3 , 	5 , 	6 , 	7 , 	8 , 	6 , 	5 , 	4 , 	4 , 	8 ,
Canada,OAS/CTS/SDG, 	546 , 	554 , 	582 , 	549 , 	625 , 	664 , 	608 , 	597 , 	614 , 	610 , 	556 , 	606 , 	548 , 	509 , 	521 , 	604 , 	611 ,
Greenland,NSO, 	13 , 	17 , 	12 , 	5 , 	11 , 	10 , 	8 , 	8 , 	8 , 	10 , 	11 , 	1 , 	8 , 	7 , 	4 , 	4 , 	3 ,
Saint Pierre and Miquelon,NP,,,,,,, 	-   , 	-   , 	1 , 	1 ,,,,,,,,
United States of America,NP/UNSDC/CTS," 	15,586 "," 	19,033 "," 	16,229 "," 	16,528 "," 	16,148 "," 	16,740 "," 	17,309 "," 	17,128 "," 	16,485 "," 	15,399 "," 	14,722 "," 	14,661 "," 	14,856 "," 	14,319 "," 	14,164 "," 	15,883 "," 	17,250 ",
Argentina,CTS,,,,,,,,,,,,,,," 	3,227 "," 	2,837 "," 	2,605 ",
