,country,gdp_usd,population,CPI,rank,GI_risk,co2_mmt,gdp_capita,regulatory_quality,political_stability,accountability,rule_of_law,co2_mmt_capita,co2_kg_capita,GDP_Ag_and_Forest,petro_income,resource_income,co2_dollar,co2_kg_dollar,meat_milk_tn,energy_value
83,Netherlands,800064000000.0,17043100.0,82,8,83,248.652,46943.6,1.97617,0.912268,1.54028,1.89441,1.4589599309984686e-05,0.014589599309984684,1.76653,0.0147969,0.28736999999999996,3.107901367890569e-10,0.3107901367890569,2988650.0,11.382024161288701
84,Nicaragua,30907500000.0,6148940.0,25,152,22,5.39717,5026.48,-0.5067050000000001,-0.0887977,-0.681534,-0.644227,8.777399031377766e-07,0.0008777399031377768,14.9153,0.0,3.6466,1.7462331149397398e-10,0.17462331149397395,264891.0,8.302128581648379
85,Niger,18585200000.0,20732500.0,34,114,35,2.24872,896.428,-0.671357,-1.10331,-0.422797,-0.661077,1.0846352345351503e-07,0.00010846352345351504,38.7842,1.32865,13.4238,1.2099520048210404e-10,0.12099520048210405,261888.0,6.34048519705395
86,Nigeria,990122000000.0,186176000.0,27,144,22,97.1037,5318.2,-0.918893,-1.87771,-0.320183,-1.01725,5.215693752148504e-07,0.0005215693752148506,20.9831,2.80315,4.85953,9.807245975748444e-11,0.09807245975748444,1412810.0,7.87026949825755
87,Norway,332520000000.0,5240470.0,84,7,83,43.2387,63452.3,1.69796,1.20007,1.66425,2.03633,8.250920241886701e-06,0.008250920241886702,2.07813,2.68045,4.12916,1.300333814507398e-10,0.1300333814507398,352685.0,11.7976259660288
88,Oman,166236000000.0,4389790.0,52,53,47,68.4576,37868.8,0.610466,0.760053,-1.05441,0.407917,1.5594732322047296e-05,0.015594732322047297,2.26193,18.1573,19.6681,4.118097163069371e-10,0.4118097163069371,80460.0,6.94479441485181
89,Pakistan,896298000000.0,193177000.0,33,117,35,175.707,4639.78,-0.639584,-2.48317,-0.700991,-0.8043779999999999,9.095648032633284e-07,0.0009095648032633283,23.2152,0.22239499999999998,0.931522,1.9603636290608703e-10,0.19603636290608706,3502556.0,9.981783793522949
90,Panama,83118400000.0,4033260.0,37,93,35,25.4585,20608.2,0.360629,0.41143,0.523939,0.0495611,6.312139559562239e-06,0.00631213955956224,2.6019,0.0,0.208337,3.062919882962136e-10,0.3062919882962136,302479.0,19.6016159633868
91,Paraguay,75552100000.0,6724560.0,29,132,22,7.208710000000001,11235.2,-0.299976,0.14179,-0.0623435,-0.729748,1.0719972756581842e-06,0.0010719972756581843,10.7513,0.0,1.6907299999999998,9.541376083523821e-11,0.0954137608352382,708048.0,14.668933465392001
92,Peru,373980000000.0,31763800.0,35,105,35,55.0172,11773.8,0.508346,-0.201727,0.267631,-0.482023,1.7320723591006115e-06,0.0017320723591006115,6.93462,0.12563,7.33982,1.471126798224504e-10,0.1471126798224504,1829008.0,15.8959064602442
93,Portugal,273194000000.0,10321500.0,64,30,59,55.1982,26468.5,0.844399,0.974051,1.15696,1.09724,5.347885481761372e-06,0.005347885481761372,1.95354,0.0,0.266921,2.0204762915730213e-10,0.20204762915730207,856178.0,14.129503380961498
94,Qatar,297335000000.0,2543590.0,62,33,47,102.484,116896.0,0.695944,0.900235,-1.1523,0.7942779999999999,4.029108464807615e-05,0.04029108464807615,0.183956,11.732000000000001,15.3526,3.4467519800897974e-10,0.3446751980089797,28580.0,6.87998882496575
95,Saudi Arabia,1593750000000.0,32187600.0,49,58,22,656.578,49514.4,0.0793312,-0.464828,-1.72922,0.337608,2.039847643191788e-05,0.020398476431917882,2.68562,19.4341,20.0307,4.119705098039216e-10,0.4119705098039216,886568.0,7.6097087230025195
96,Senegal,44811700000.0,15421600.0,45,67,47,8.60316,2905.77,-0.143072,-0.218255,0.369219,-0.106501,5.57864294236655e-07,0.0005578642942366552,14.4141,0.0,4.47389,1.919846825717391e-10,0.1919846825717391,219358.0,10.9846623422318
97,Serbia,95269800000.0,7058320.0,39,87,35,47.5103,13497.5,0.0562996,0.140154,0.199048,-0.15925,6.731105985560304e-06,0.006731105985560304,6.8021,0.0848944,1.1598700000000002,4.986921353881293e-10,0.4986921353881293,488595.0,7.88389398991208
98,Singapore,458821000000.0,5607280.0,85,3,83,255.185,81825.9,2.18061,1.49576,-0.150454,1.82524,4.5509587536202945e-05,0.04550958753620294,0.0309277,0.0,0.000441298,5.56175501993152e-10,0.556175501993152,123244.0,16.9103519411228
99,Slovenia,60470400000.0,2065900.0,60,36,71,13.5945,29270.7,0.640269,0.990436,1.01017,1.08267,6.5804249963696225e-06,0.006580424996369621,1.9454099999999999,6.73235e-05,0.272819,2.248124702333704e-10,0.2248124702333704,131908.0,9.53100861410692
100,South Africa,672566000000.0,56088600.0,43,73,47,510.751,11991.1,0.211844,-0.141504,0.647684,0.116231,9.10614634702952e-06,0.00910614634702952,2.2240599999999997,0.00513507,5.05525,7.594065117772828e-10,0.7594065117772828,3237178.0,4.85656926516809
101,Spain,1537470000000.0,46495000.0,58,41,47,286.124,33067.3,1.0086,0.413188,1.04105,0.978825,6.153866007097537e-06,0.006153866007097538,2.6901599999999997,0.00138326,0.0744008,1.861005417991896e-10,0.1861005417991896,6546500.0,13.6773044292645
102,Sudan,198875000000.0,39626500.0,16,172,22,18.9488,5018.74,-1.49144,-2.33722,-1.83765,-1.25819,4.781850529317501e-07,0.0004781850529317501,31.2,0.654515,4.73815,9.5279949717159e-11,0.09527994971715899,920288.0,11.143859711890599
