"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000000000000000000000000000000000000000f&c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvs&ct=0&tl_id=40-A&vs=INTL.4008-8-AFG-MMTCD.A&cy=2015&vo=0&v=H&start=2015&end=2016&showdm=y"
"Tue Oct 15 2019 17:17:10 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,2015,2016
"","Emissions","MMtons CO2"
"","Emissions",""
"","CO2 Emissions",""
"","CO2 Emissions",""
"","Romania","MMtons CO2",72.802022175,71.676642042
"","Russia","MMtons CO2",1801.935684442,1766.611721141
"","Rwanda","MMtons CO2",0.973864572,0.987122598
"","Saint Helena","MMtons CO2",0.009859705,0.010629374
"","Saint Kitts and Nevis","MMtons CO2",0.254122697,0.24853458
"","Saint Lucia","MMtons CO2",0.439208927,0.438496858
"","Saint Pierre and Miquelon","MMtons CO2",0.098260306,0.100037358
"","Saint Vincent/Grenadines","MMtons CO2",0.226717173,0.227088007
"","Samoa","MMtons CO2",0.335265262,0.341471236
"","Sao Tome and Principe","MMtons CO2",0.152083815,0.148414412
"","Saudi Arabia","MMtons CO2",662.133055004,656.578258322
"","Senegal","MMtons CO2",7.921881221,8.603164366
"","Serbia","MMtons CO2",46.500632793,47.510254604
"","Seychelles","MMtons CO2",1.137223683,1.152034507
"","Sierra Leone","MMtons CO2",0.974265915,0.986173422
"","Singapore","MMtons CO2",240.92078202,255.184950075
"","Slovakia","MMtons CO2",33.861758161,33.500725783
"","Slovenia","MMtons CO2",12.674852064,13.594457139
"","Solomon Islands","MMtons CO2",0.229860224,0.233857761
"","Somalia","MMtons CO2",0.847098186,0.850896626
"","South Africa","MMtons CO2",502.717746686,510.751502614
"","South Korea","MMtons CO2",731.9911878,771.096485711
"","South Sudan","MMtons CO2",1.090730778,1.222081906
"","Spain","MMtons CO2",290.113590564,286.124055964
"","Sri Lanka","MMtons CO2",21.669513055,24.262210492
"","Sudan","MMtons CO2",15.428780782,18.948834793
"","Suriname","MMtons CO2",2.288888925,2.058325291
"","Swaziland","MMtons CO2",1.061404906,1.089523758
"","Sweden","MMtons CO2",49.926537428,53.407685513
"","Switzerland","MMtons CO2",39.105715132,39.75981297
"","Syria","MMtons CO2",29.977938717,28.227673558
"","Taiwan","MMtons CO2",318.276783095,326.276700357
